Country/Region,Confirmed,Deaths,Recovered,Active,New cases,WHO Region
Haiti,7340,158,4365,2817,25,Americas
Holy See,12,0,12,0,0,Europe
Honduras,39741,1166,5039,33536,465,Americas
Hungary,4448,596,3329,523,13,Europe
Iceland,1854,10,1823,21,7,Europe
India,1480073,33408,951166,495499,44457,South-East Asia
Indonesia,100303,4838,58173,37292,1525,South-East Asia
Iran,293606,15912,255144,22550,2434,Eastern Mediterranean
Iraq,112585,4458,77144,30983,2553,Eastern Mediterranean
Ireland,25892,1764,23364,764,11,Europe
Israel,63985,474,27133,36378,2029,Europe
Italy,246286,35112,198593,12581,168,Europe
Jamaica,853,10,714,129,11,Americas
Japan,31142,998,21970,8174,594,Western Pacific
Jordan,1176,11,1041,124,8,Eastern Mediterranean
Kazakhstan,84648,585,54404,29659,1526,Europe
Kenya,17975,285,7833,9857,372,Africa
Kosovo,7413,185,4027,3201,496,Europe
Kuwait,64379,438,55057,8884,606,Eastern Mediterranean
Kyrgyzstan,33296,1301,21205,10790,483,Europe
Laos,20,0,19,1,0,Western Pacific
Latvia,1219,31,1045,143,0,Europe
Lebanon,3882,51,1709,2122,132,Eastern Mediterranean
Lesotho,505,12,128,365,0,Africa
Liberia,1167,72,646,449,5,Africa
Libya,2827,64,577,2186,158,Eastern Mediterranean
Liechtenstein,86,1,81,4,0,Europe
Lithuania,2019,80,1620,319,11,Europe
Luxembourg,6321,112,4825,1384,49,Europe
Madagascar,9690,91,6260,3339,395,Africa
Malawi,3664,99,1645,1920,24,Africa
Malaysia,8904,124,8601,179,7,Western Pacific
Maldives,3369,15,2547,807,67,South-East Asia
Mali,2513,124,1913,476,3,Africa
Malta,701,9,665,27,1,Europe
Mauritania,6208,156,4653,1399,37,Africa
Mauritius,344,10,332,2,0,Africa
Mexico,395489,44022,303810,47657,4973,Americas
Moldova,23154,748,16154,6252,120,Europe
Monaco,116,4,104,8,0,Europe
Mongolia,289,0,222,67,1,Western Pacific
Montenegro,2893,45,809,2039,94,Europe
Morocco,20887,316,16553,4018,609,Eastern Mediterranean
Mozambique,1701,11,0,1690,32,Africa
Namibia,1843,8,101,1734,68,Africa
Nepal,18752,48,13754,4950,139,South-East Asia
Netherlands,53413,6160,189,47064,419,Europe
New Zealand,1557,22,1514,21,1,Western Pacific
Nicaragua,3439,108,2492,839,0,Americas
Niger,1132,69,1027,36,0,Africa
Nigeria,41180,860,18203,22117,648,Africa
North Macedonia,10213,466,5564,4183,127,Europe
Norway,9132,255,8752,125,15,Europe
Oman,77058,393,57028,19637,1053,Eastern Mediterranean
Pakistan,274289,5842,241026,27421,1176,Eastern Mediterranean
Panama,61442,1322,35086,25034,1146,Americas
Papua New Guinea,62,0,11,51,0,Western Pacific
Paraguay,4548,43,2905,1600,104,Americas
Peru,389717,18418,272547,98752,13756,Americas
Philippines,82040,1945,26446,53649,1592,Western Pacific
Poland,43402,1676,32856,8870,337,Europe
Portugal,50299,1719,35375,13205,135,Europe
Qatar,109597,165,106328,3104,292,Eastern Mediterranean
Romania,45902,2206,25794,17902,1104,Europe
Russia,816680,13334,602249,201097,5607,Europe
Rwanda,1879,5,975,899,58,Africa
Saint Kitts and Nevis,17,0,15,2,0,Americas
Saint Lucia,24,0,22,2,0,Americas
Saint Vincent and the Grenadines,52,0,39,13,0,Americas
San Marino,699,42,657,0,0,Europe
Sao Tome and Principe,865,14,734,117,2,Africa
Saudi Arabia,268934,2760,222936,43238,1993,Eastern Mediterranean
Senegal,9764,194,6477,3093,83,Africa
Serbia,24141,543,0,23598,411,Europe
Seychelles,114,0,39,75,0,Africa
Sierra Leone,1783,66,1317,400,0,Africa
Singapore,50838,27,45692,5119,469,Western Pacific
Slovakia,2181,28,1616,537,2,Europe
Slovenia,2087,116,1733,238,5,Europe
Somalia,3196,93,1543,1560,18,Eastern Mediterranean
South Africa,452529,7067,274925,170537,7096,Africa
South Korea,14203,300,13007,896,28,Western Pacific
South Sudan,2305,46,1175,1084,43,Africa
Spain,272421,28432,150376,93613,0,Europe
Sri Lanka,2805,11,2121,673,23,South-East Asia
Sudan,11424,720,5939,4765,39,Eastern Mediterranean
Suriname,1483,24,925,534,44,Americas
Sweden,79395,5700,0,73695,398,Europe
Switzerland,34477,1978,30900,1599,65,Europe
Syria,674,40,0,634,24,Eastern Mediterranean
Taiwan*,462,7,440,15,4,Western Pacific
Tajikistan,7235,60,6028,1147,43,Europe
Tanzania,509,21,183,305,0,Africa
Thailand,3297,58,3111,128,6,South-East Asia
Timor-Leste,24,0,0,24,0,South-East Asia
Togo,874,18,607,249,6,Africa
Trinidad and Tobago,148,8,128,12,1,Americas
Tunisia,1455,50,1157,248,3,Eastern Mediterranean
Turkey,227019,5630,210469,10920,919,Europe
US,4290259,148011,1325804,2816444,56336,Americas
Uganda,1128,2,986,140,13,Africa
Ukraine,67096,1636,37202,28258,835,Europe
United Arab Emirates,59177,345,52510,6322,264,Eastern Mediterranean
United Kingdom,301708,45844,1437,254427,688,Europe
Uruguay,1202,35,951,216,10,Americas
Uzbekistan,21209,121,11674,9414,678,Europe
Venezuela,15988,146,9959,5883,525,Americas
Vietnam,431,0,365,66,11,Western Pacific
West Bank and Gaza,10621,78,3752,6791,152,Eastern Mediterranean
Western Sahara,10,1,8,1,0,Africa
Yemen,1691,483,833,375,10,Eastern Mediterranean
Zambia,4552,140,2815,1597,71,Africa
Zimbabwe,2704,36,542,2126,192,Africa
